Borough,Area Code,Employed,Work_From_Home,Age_18_64,Disabled,Total_Pop,Economically_Active,Income_per_Head,Age_18_64_%,Economically_Active_%,Disabled_%,Work_From_Home_%,PC1,PC2,Cluster,Cluster_Label
Barking and Dagenham,E09000002,94589.0,19572.0,136327.0,28993.0,218868.0,103667.0,18667.0,62.287314728512165,47.365078494800514,13.246797156276845,20.6916237617482,-2.6707088967545616,-0.5845581132383896,1,High Need (Low PC1)
Barnet,E09000003,186176.0,79628.0,243851.0,49679.0,389344.0,199761.0,31645.0,62.631246404208106,51.30707035423687,12.759667543354976,42.77028188380887,-0.8373956228074318,-0.5382740053882875,1,High Need (Low PC1)
Bexley,E09000004,117984.0,40692.0,148874.0,36083.0,246472.0,125346.0,23022.0,60.401992924145546,50.856081015287735,14.639796812619691,34.48942229454841,-1.8631187084151184,0.7729658850785828,1,High Need (Low PC1)
Brent,E09000005,160994.0,48987.0,227205.0,41163.0,339814.0,175982.0,25842.0,66.86157721577098,51.78774270630405,12.113391443554416,30.42784203138005,-0.9353225594136684,-1.0771423736049774,1,High Need (Low PC1)
Bromley,E09000006,162122.0,75511.0,199111.0,45894.0,329991.0,171090.0,29032.0,60.33831225700095,51.84686855096048,13.90765202687346,46.57665215084936,-0.9970472281008296,0.3988351140465389,1,High Need (Low PC1)
Camden,E09000007,102513.0,58110.0,148800.0,31882.0,210136.0,111524.0,58604.0,70.8112841207599,53.07229603685233,15.17207903453002,56.68549354715987,0.9977714966256198,1.7586106775735704,0,Emerging Opportunity
City of London,E09000001,5348.0,3602.0,6722.0,919.0,8583.0,5678.0,192005.0,78.31760456716765,66.15402539904463,10.70721193056041,67.35228122662677,6.472559433119806,-2.059321527924609,2,Affluent & Healthy (High PC1)
Croydon,E09000008,189407.0,70976.0,247405.0,54852.0,390719.0,204136.0,24323.0,63.320442568700265,52.24624346397283,14.038733719117833,37.47274387958207,-1.1556729339007248,0.4830441152158958,1,High Need (Low PC1)
Ealing,E09000009,175023.0,63137.0,242200.0,44811.0,367115.0,190291.0,26673.0,65.97387739536657,51.83416640562222,12.206256894978411,36.07354461984996,-0.7527724561961734,-0.932319588173599,1,High Need (Low PC1)
Enfield,E09000010,143864.0,44977.0,202813.0,44876.0,329984.0,156015.0,24595.0,61.46146479829325,47.279565069821565,13.599447245927076,31.26355446810877,-2.2214719813458355,-0.182051071628363,1,High Need (Low PC1)
Greenwich,E09000011,142934.0,57959.0,193003.0,41576.0,289069.0,155202.0,24736.0,66.76710404782249,53.69029539660081,14.382725231692088,40.54948437740495,-0.5077329069054322,0.9717493283210896,1,High Need (Low PC1)
