Borough,Area Code,Employed,Work_From_Home,Age_18_64,Disabled,Total_Pop,Economically_Active,Income_per_Head,Age_18_64_%,Economically_Active_%,Disabled_%,Work_From_Home_%,PC1,PC2,Cluster,Cluster_Label,Gym_Count,Retail_Rent,PC1_Score,PC2_Score,Gym_Score,Rent_Score,AHP_with_rent,Rank_with_rent,AHP_no_rent,Rank_no_rent,AHP_high_rent_sensitive,Rank_high_rent_sensitive,AHP_flat,Rank_flat,AHP_pairwise_matrix,Rank_pairwise_matrix
Barking and Dagenham,E09000002,94589.0,19572.0,136327.0,28993.0,218868.0,103667.0,18667.0,62.287314728512165,47.365078494800514,13.246797156276845,20.6916237617482,-2.6707088967545616,-0.5845581132383896,1,High Need (Low PC1),7,23.16,0.0,0.7056806017355202,1.0,1.0,0.5411361203471041,12,0.41170418052065605,19,0.641136120347104,5,0.67642015043388,5,0.34870905940471375,30
Barnet,E09000003,186176.0,79628.0,243851.0,49679.0,389344.0,199761.0,31645.0,62.631246404208106,51.30707035423687,12.759667543354976,42.77028188380887,-0.8373956228074318,-0.5382740053882875,1,High Need (Low PC1),21,27.83,0.20050962170245315,0.6964436552287147,0.7627118644067796,0.9258965407807046,0.5572142607642211,10,0.4617302803011969,15,0.6297529526720462,6,0.646390420529663,9,0.4299450199840691,15
Bexley,E09000004,117984.0,40692.0,148874.0,36083.0,246472.0,125346.0,23022.0,60.401992924145546,50.856081015287735,14.639796812619691,34.48942229454841,-1.8631187084151184,0.7729658850785828,1,High Need (Low PC1),12,42.09,0.08832620450400146,0.43475874244919377,0.9152542372881356,0.6996191685179308,0.44525691145265267,27,0.357641572444386,30,0.5063862078540455,26,0.5344895881898154,23,0.3094591056719808,33
Brent,E09000005,160994.0,48987.0,227205.0,41163.0,339814.0,175982.0,25842.0,66.86157721577098,51.78774270630405,12.113391443554416,30.42784203138005,-0.9353225594136684,-1.0771423736049774,1,High Need (Low PC1),17,36.85,0.1897993446906461,0.8039859310255706,0.8305084745762712,0.7827673754363694,0.5593720940839008,9,0.5021971465682484,10,0.6186688971584731,9,0.6517652814322143,8,0.44508187268005184,12
Bromley,E09000006,162122.0,75511.0,199111.0,45894.0,329991.0,171090.0,29032.0,60.33831225700095,51.84686855096048,13.90765202687346,46.57665215084936,-0.9970472281008296,0.3988351140465389,1,High Need (Low PC1),23,32.77,0.18304851266207223,0.5094242395084665,0.728813559322034,0.8475087273881308,0.4903687103085552,21,0.39011424004798284,25,0.5568147317811609,20,0.5671987597201759,19,0.36912571301325503,27
Camden,E09000007,102513.0,58110.0,148800.0,31882.0,210136.0,111524.0,58604.0,70.8112841207599,53.07229603685233,15.17207903453002,56.68549354715987,0.9977714966256198,1.7586106775735704,0,Emerging Opportunity,50,56.21,0.40122199863630037,0.2380530340346917,0.27118644067796616,0.4755633132338941,0.3574493570438306,33,0.32626419766415093,33,0.36488348850358987,32,0.3465061966457131,33,0.3550700758151459,29
City of London,E09000001,5348.0,3602.0,6722.0,919.0,8583.0,5678.0,192005.0,78.31760456716765,66.15402539904463,10.70721193056041,67.35228122662677,6.472559433119806,-2.059321527924609,2,Affluent & Healthy (High PC1),26,63.96,1.0,1.0,0.6779661016949152,0.3525864804823867,0.8061105164354605,1,0.9355932203389831,1,0.741369164483699,1,0.7576381455443255,1,0.9137337814763653,1
Croydon,E09000008,189407.0,70976.0,247405.0,54852.0,390719.0,204136.0,24323.0,63.320442568700265,52.24624346397283,14.038733719117833,37.47274387958207,-1.1556729339007248,0.4830441152158958,1,High Need (Low PC1),16,29.22,0.16569960633263556,0.492618599833786,0.847457627118644,0.9038400507775309,0.5150630980790465,19,0.40012690854018235,22,0.588877142523536,16,0.6024039710156491,15,0.3739108647289164,26
Ealing,E09000009,175023.0,63137.0,242200.0,44811.0,367115.0,190291.0,26673.0,65.97387739536657,51.83416640562222,12.206256894978411,36.07354461984996,-0.7527724561961734,-0.932319588173599,1,High Need (Low PC1),15,43.25,0.20976486430916563,0.7750835629313511,0.864406779661017,0.6812123135512536,0.5480464769523906,11,0.5102888569661915,9,0.5951912218765993,14,0.6326168801131968,11,0.44734065164582476,9
Enfield,E09000010,143864.0,44977.0,202813.0,44876.0,329984.0,156015.0,24595.0,61.46146479829325,47.279565069821565,13.599447245927076,31.26355446810877,-2.2214719813458355,-0.182051071628363,1,High Need (Low PC1),13,42.9,0.049133077932417946,0.6253520357403537,0.8983050847457628,0.6867661059980958,0.4617378764698097,25,0.39183316663746764,24,0.5255011792763775,23,0.5648890761041576,21,0.32496328254236917,32
