Borough,Price (£/sq.ft/year)
Barking and Dagenham,23.16
Barnet,27.83
Bexley,42.09
Brent,36.85
Bromley,32.77
Camden,56.21
City of London,63.96
Croydon,29.22
Ealing,43.25
Enfield,42.9
Greenwich,33.35
Hackney,38.68
Hammersmith and Fulham,43.94
Haringey,38.5
Harrow,33.41
Havering,23.7
Hillingdon,26.08
Hounslow,38.73
Islington,45.32
Kensington and Chelsea,86.18
Kingston upon Thames,45.23
Lambeth,38.76
Lewisham,28.73
Merton,40.28
Newham,35.78
Redbridge,29.73
Richmond upon Thames,42.97
Southwark,45.22
Sutton,27.99
Tower Hamlets,42.06
Waltham Forest,33.73
Wandsworth,38.79
Westminster,49.36
