
"TS007 - Age by single year"
"ONS Crown Copyright Reserved [from Nomis on 8 April 2025]"
"Population :","All usual residents"
"Units      :","Persons"
"Date       :","2021"

"local authority: county / unitary (as of April 2023)","mnemonic","Total: All usual residents","Aged 18 years","Aged 19 years","Aged 20 to 24 years","Aged 25 to 34 years","Aged 35 to 49 years","Aged 50 to 64 years"

"Barking and Dagenham","E09000002",218863,2956,2472,13240,33271,50641,33747
"Barnet","E09000003",389340,4007,3233,22395,58216,88344,67656
"Bexley","E09000004",246473,2671,2401,13506,31988,50860,47448
"Brent","E09000005",339818,4125,4116,24589,59159,76164,59052
"Bromley","E09000006",329989,3230,2389,14676,40752,73535,64529
"Camden","E09000007",210134,3228,4299,20165,42543,44408,34157
"City of London","E09000001",8579,60,52,965,2213,1815,1617
"Croydon","E09000008",390718,4109,3583,21620,59140,85735,73218
"Ealing","E09000009",367122,4509,4242,22626,59678,86819,64326
"Enfield","E09000010",329986,4019,3278,19116,44300,71281,60819
"Greenwich","E09000011",289067,3067,3004,18363,52584,68305,47680
"Hackney","E09000012",259148,2685,2492,18592,63482,57714,38022
"Hammersmith and Fulham","E09000013",183161,1523,1747,16960,42789,39823,29493
"Haringey","E09000014",264234,2770,2624,16363,49903,63930,46516
"Harrow","E09000015",261203,2776,2212,15132,38925,58062,45549
"Havering","E09000016",262057,2753,2380,14106,36233,52844,49081
"Hillingdon","E09000017",305916,3607,3924,19812,44450,68671,52905
"Hounslow","E09000018",288181,3109,2721,16756,45717,70967,48633
"Islington","E09000019",216587,2409,2840,18476,56063,46411,33540
"Kensington and Chelsea","E09000020",143376,1320,1416,12202,25142,30356,29351
"Kingston upon Thames","E09000021",168064,1740,1848,11155,23271,39162,30045
"Lambeth","E09000022",317662,2978,2927,26755,81901,69292,51826
"Lewisham","E09000023",300554,3002,2807,18810,58434,72036,52079
"Merton","E09000024",215188,1953,1579,11167,36356,52598,37317
"Newham","E09000025",351039,4504,4391,28285,72735,82692,49531
"Redbridge","E09000026",310260,3675,3398,18967,46639,72127,50929
"Richmond upon Thames","E09000027",195278,1918,1379,8229,22049,46948,39309
"Southwark","E09000028",307641,3333,3778,25478,73224,68305,50273
"Sutton","E09000029",209640,2133,1566,9944,27200,49038,38959
"Tower Hamlets","E09000030",310303,3628,4689,31988,85181,69956,33199
"Waltham Forest","E09000031",278429,2868,2676,15573,51078,69532,45664
"Wandsworth","E09000032",327506,2515,2520,23844,86123,74694,47138
"Westminster","E09000033",204240,2381,2669,19329,44167,43908,36388



"","In order to protect against disclosure of personal information, records"
"","have been swapped between different geographic areas and counts perturbed"
"","by small amounts. Small counts at the lowest geographies will be most"
"","affected."
"",""

