Gym Name,Latitude,Longitude
1 Rebel,51.5333114,-0.1706833
12 x 3,51.5145239,-0.068937
12x3 Gym,51.5192567,-0.1794621
1Rebel Bayswater,51.5166517,-0.1875716
2BX,51.3773853,0.010425
3Tribes,51.5784897,-0.1245799
42 at Gymkhana,51.5084834,-0.1415516
7R Gym,51.4923022,0.0745435
87 Fight,51.3325339,-0.1239824
9 Round,51.3764306,0.1011177
9Round,51.5478554,-0.007934
énergie Fitness,51.6527533,-0.0890394
énergie Fitness,51.5624525,-0.1259284
énergie Fitness,51.5475122,-0.0440011
énergie fitness,51.5369557,-0.1918374
énergie Fitness,51.5246215,-0.0903465
énergie Fitness,51.5191301,-0.0167158
énergie Fitness,51.4687565,-0.1711982
énergie Fitness,51.4632459,-0.2170588
énergie Fitness,51.4599853,0.0491416
énergie Fitness,51.4375018,-0.1714501
énergie Fitness,51.3570797,-0.1495255
Aboxr,51.542393,-0.1549543
Absolutely,51.537563,-0.2022687
Adidas Outdoor Gym,51.5488669,-0.0292702
Ajala Spa,51.5128963,-0.1001424
Akasha,51.5102398,-0.1351327
Alex Jordan Personal Training,51.5769092,-0.1457199
All Stars Boxing Gym,51.526354,-0.2056017
Alpha Gyms,51.5483605,-0.1283449
Amica Shoreditch,51.5263614,-0.0785586
Anytime Fitness,51.6553274,-0.202306
Anytime Fitness,51.6152828,-0.2447871
Anytime Fitness,51.5937584,-0.3354042
Anytime Fitness,51.5487774,-0.0033147
Anytime Fitness,51.5452144,-0.0756769
Anytime Fitness,51.5445877,-0.1763629
Anytime Fitness,51.5442404,-0.1524283
Anytime Fitness,51.5404365,-0.0549388
Anytime Fitness,51.5364223,-0.1918693
Anytime Fitness,51.5359172,-0.0051014
Anytime Fitness,51.531309,-0.1175922
Anytime Fitness,51.5259966,-0.1353049
Anytime Fitness,51.5258756,-0.2147714
Anytime Fitness,51.5136286,-0.1021625
Anytime Fitness,51.5132981,-0.0720186
Anytime Fitness,51.5096774,-0.325065
Anytime Fitness,51.5025583,-0.1878492
Anytime Fitness,51.4999791,-0.1139629
Anytime Fitness,51.489217,0.0661151
Anytime Fitness,51.4873596,0.0251727
Anytime Fitness,51.4854197,-0.182086
Anytime Fitness,51.4647091,-0.0169065
Anytime Fitness,51.4605402,-0.1177255
Anytime Fitness,51.4496638,-0.3298671
Anytime Fitness,51.448562,-0.0041247
Anytime Fitness,51.4468297,-0.4091405
Anytime Fitness,51.4380782,-0.1060532
Anytime Fitness,51.4317644,0.0209373
Anytime Fitness,51.4245778,-0.1710748
Anytime Fitness,51.4216261,-0.2076211
Anytime Fitness,51.4097367,-0.2289452
Anytime Fitness,51.373489,0.0979931
Anytime Fitness,51.3582951,-0.1908264
Aphobos,51.3966235,0.0249887
appi Health Group,51.5292212,-0.2169649
Aqua East,51.5068236,0.0682957
Atherton Leisure Centre,51.5448339,0.0151691
Avery Hill Outdoor Gym,51.4485796,0.0750151
Avondale Gymnastics Club,51.3863535,-0.2926293
BALDR CrossFit,51.4821071,-0.0344361
Bannatyne Health Club,51.5361846,-0.1907787
Bannatyne Health Club,51.5243645,-0.1278575
Bannatyne Health Club,51.4084247,0.1242021
Bannatyne's Fitness Club,51.6079352,-0.0180188
Bannatynes Gym,51.496708,-0.1257432
Barking Sporthouse and Gym,51.5459551,0.1113761
Barre Core,51.5536851,-0.1679578
Barrecore,51.5168137,-0.1441928
Barrecore,51.5157086,-0.1951264
Barrecore,51.5026,-0.1909949
Barry's,51.5270237,-0.1309938
Barry's,51.521829,-0.086735
Barry's,51.5107279,-0.187294
BASE 13,51.4587679,0.0057748
Basis,51.5383453,-0.0583711
Basketball court,51.5099767,-0.2151272
Basketball court,51.4919249,-0.2298796
Beattitude,51.4359635,-0.1860816
Beckton Park Gym,51.5188734,0.0456406
Ben,51.4014678,-0.265694
Better Gym,51.5470604,-0.0074541
Better Gym,51.4580593,0.1324754
Better Gym,51.4254289,0.1040954
Better Gym Holloway,51.5520698,-0.1134454
Better Gym Walthamstow Stadium,51.6033713,-0.0157826
Beyond Move,51.6431249,-0.1622267
BFT Hackney,51.5309197,-0.0698445
Bind Yoga Studio,51.5861956,-0.0896546
BJJ House,51.5415139,-0.2054951
Blackheath Yoga,51.4663543,0.0078641
Blitz,51.4488865,-0.3318851
Blockhouse Gym,51.5149328,-0.0696379
BLOK Shoreditch,51.5223054,-0.0805191
Bloodline Gym,51.5556551,-0.0544206
Bloodline Gym,51.539683,-0.0588161
Bloomsbury Fitness,51.5250158,-0.1326644
Blueprint,51.6684145,-0.1766367
BMF,51.4834107,-0.1472891
Bodies Under Construction,51.4615765,-0.2197071
Body & Brain,51.4977978,-0.2275847
Body & Brain,51.4625969,-0.2222656
Body Machine,51.5023312,-0.1898512
Body Works West,51.5139257,-0.1997907
Bodyism,51.5144748,-0.2010958
BodyJunkies,51.5517187,-0.1114189
Bodylift,51.4620606,-0.0810896
Boom Cycle,51.4939111,-0.2256365
Boom Cycle,51.4831321,-0.1468807
Boomerang Pilates and Fitness,51.4729705,-0.2865413
Bootcamp Pilates,51.5092527,-0.1235852
Bounce Gym,51.433446,-0.1967753
Bounce Gym,51.4025063,-0.2557842
Bow Quarter Leisure Centre,51.5317989,-0.020893
Boxing Fitness Gym,51.5265639,-0.1377388
Boxing Gym,51.4988049,-0.098711
