Borough,Area Code,GDHI (£m),GDHI per Head (£)
Barking and Dagenham,E09000002,4079.0,18667.0
Barnet,E09000003,12299.0,31645.0
Bexley,E09000004,5676.0,23022.0
Brent,E09000005,8758.0,25842.0
Bromley,E09000006,9575.0,29032.0
Camden,E09000007,12330.0,58604.0
City of London,E09000001,1655.0,192005.0
Croydon,E09000008,9498.0,24323.0
Ealing,E09000009,9766.0,26673.0
Enfield,E09000010,8107.0,24595.0
Greenwich,E09000011,7155.0,24736.0
Hackney,E09000012,7709.0,29655.0
Hammersmith and Fulham,E09000013,8072.0,44040.0
Haringey,E09000014,8419.0,31874.0
Harrow,E09000015,7186.0,27535.0
Havering,E09000016,6211.0,23702.0
Hillingdon,E09000017,7008.0,22994.0
Hounslow,E09000018,7249.0,25174.0
Islington,E09000019,8112.0,37422.0
Kensington and Chelsea,E09000020,13087.0,90917.0
Kingston upon Thames,E09000021,5026.0,29942.0
Lambeth,E09000022,10012.0,31534.0
Lewisham,E09000023,7763.0,25892.0
Merton,E09000024,6908.0,32084.0
Newham,E09000025,7790.0,22217.0
Redbridge,E09000026,7569.0,24430.0
Richmond upon Thames,E09000027,8310.0,42567.0
Southwark,E09000028,9514.0,31054.0
Sutton,E09000029,5118.0,24426.0
Tower Hamlets,E09000030,9279.0,29716.0
Waltham Forest,E09000031,6806.0,24476.0
Wandsworth,E09000032,13655.0,41584.0
Westminster,E09000033,13821.0,67389.0
